acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.972,0.567,313293,0.227,0,0.601,10,0.11,-13.441,1,47,0.029,136.123,0.0396,2000
0.321,0.821,360240,0.418,0,0.000372,9,0.222,-9.841,0,51,0.0407,117.382,0.803,2000
0.00659,0.706,202507,0.602,1,0.000138,11,0.4,-8.306,0,44,0.342,89.692,0.479,2000
0.0039,0.368,173360,0.977,0,0,11,0.35,-2.757,0,52,0.127,165.889,0.548,2000
0.122,0.501,344200,0.511,0,0,7,0.279,-9.836,0,53,0.0291,78.045,0.113,2000
0.0666,0.829,195293,0.614,1,0.00085,1,0.0975,-8.546,1,46,0.267,90.924,0.496,2000
0.00747,0.352,174773,0.985,0,0.00102,2,0.367,-2.555,1,40,0.22,129.973,0.241,2000
0.0792,0.974,56893,0.604,0,0,7,0.0528,-8.979,1,39,0.036,114.047,0.998,2000
0.0004,0.505,334893,0.617,0,0.0131,8,0.421,-7.744,1,41,0.0251,96.976,0.417,2000
0.759,0.17,181867,0.0504,0,0.948,4,0.112,-29.687,0,47,0.0377,127.418,0.0963,2000
0.575,0.809,157667,0.726,0,0.235,9,0.18,-8.209,0,39,0.0274,102.779,0.92,2000
0.655,0.735,96133,0.521,0,0.024,1,0.207,-12.161,1,42,0.0317,113.545,0.946,2000
0.988,0.233,248600,0.122,0,0.00354,10,0.0916,-19.528,1,52,0.0333,90.593,0.0991,2000
0.197,0.598,256493,0.581,0,0,8,0.121,-7.61,1,38,0.0418,73.071,0.696,2000
0.197,0.953,289587,0.563,0,2.72E-05,2,0.0448,-7.84,1,42,0.0418,129.857,0.861,2000
0.000442,0.506,126990,0.941,0,7.08E-06,10,0.0819,-6.812,0,43,0.164,105.195,0.403,2000
6.13E-05,0.314,195067,0.688,0,2.45E-05,11,0.146,-7.524,1,40,0.0306,186.348,0.536,2000
0.178,0.46,278880,0.772,0,4.40E-05,10,0.182,-9.724,0,41,0.419,174.935,0.741,2000
0.0462,0.673,220867,0.82,0,0,5,0.129,-5.265,0,38,0.17,87.231,0.718,2000
0.00437,0.462,210600,0.713,0,0.358,7,0.382,-6.031,1,40,0.0315,133.736,0.67,2000
0.135,0.878,221080,0.594,0,7.67E-05,0,0.0692,-6.548,1,44,0.0443,134.718,0.916,2000
0.436,0.708,175560,0.491,0,1.33E-06,8,0.183,-7.158,1,41,0.0452,114.164,0.964,2000
0.197,0.884,210080,0.687,0,3.78E-05,4,0.192,-5.633,0,49,0.172,99.067,0.753,2000
0.37,0.511,396333,0.379,0,0,8,0.148,-10.184,1,39,0.0262,95.076,0.192,2000
0.175,0.56,228360,0.647,0,0,9,0.0439,-8.266,1,47,0.0307,152.002,0.858,2000
0.489,0.454,143987,0.568,0,3.74E-06,10,0.326,-7.074,1,42,0.106,197.795,0.971,2000
0.000126,0.609,203773,0.843,0,0.000239,6,0.0535,-3.9,1,43,0.0369,92.928,0.625,2000
0.0256,0.771,235200,0.745,0,0.000374,11,0.107,-10.217,0,40,0.0904,106.709,0.599,2000
0.000154,0.409,201467,0.872,0,5.08E-05,6,0.167,-5.257,0,40,0.111,200.243,0.412,2000
0.51,0.274,261965,0.742,0,0.000147,2,0.324,-5.624,1,54,0.0433,85.493,0.334,2000
0.101,0.442,249840,0.447,0,0,0,0.0962,-8.838,1,39,0.0252,149.652,0.16,2000
0.00498,0.578,205373,0.946,0,1.02E-05,5,0.269,-3.091,0,42,0.0449,119.938,0.545,2000
0.117,0.518,277200,0.784,0,0,2,0.0954,-8.924,1,39,0.0369,135.25,0.736,2000
0.000194,0.307,160960,0.985,1,0.596,2,0.252,-3.11,1,44,0.0837,117.507,0.65,2000
0.425,0.577,380333,0.349,0,0,8,0.134,-7.77,1,40,0.0312,124.01,0.131,2000
0.793,0.184,309986,0.219,0,0,3,0.0693,-13.497,1,54,0.0302,176.42,0.21,2000
0.0288,0.305,421107,0.95,0,0.00442,11,0.369,-6.527,0,44,0.192,142.454,0.633,2000
0.132,0.641,274027,0.854,0,0,7,0.1,-4.628,1,39,0.0274,114.433,0.679,2000
0.205,0.313,272267,0.505,0,0,4,0.0843,-9.406,0,41,0.0747,167.352,0.237,2000
0.223,0.565,246533,0.709,0,0,1,0.386,-5.475,1,41,0.033,132.132,0.309,2000
0.24,0.457,144493,0.652,0,0.0761,4,0.0612,-11.691,0,43,0.0307,89.408,0.0643,2000
0.629,0.606,516533,0.568,0,0.00418,11,0.116,-5.294,1,49,0.0421,77.067,0.427,2000
0.89,0.154,775307,0.00261,0,0.763,1,0.125,-36.267,1,46,0.0419,83.549,0.0366,2000
0.0712,0.8,330333,0.749,1,0,8,0.0929,-6.717,0,38,0.394,109.925,0.74,2000
0.0829,0.539,150867,0.74,0,0.893,10,0.399,-7.315,1,47,0.0401,123.83,0.726,2000
0.016,0.785,240293,0.791,1,1.20E-05,7,0.124,-5.553,1,38,0.12,77.001,0.937,2000
0.886,0.51,90427,0.448,0,0.379,7,0.203,-12.42,1,41,0.0305,115.807,0.286,2000
0.00555,0.357,209373,0.599,0,0.814,1,0.111,-8.304,0,43,0.033,167.823,0.138,2000
0.0814,0.616,253040,0.535,0,0.0924,11,0.121,-8.789,1,38,0.0379,64.979,0.391,2000
0.775,0.56,247800,0.488,0,0,4,0.118,-6.287,1,43,0.0309,118.21,0.153,2000
0.556,0.607,238573,0.753,1,0,10,0.623,-7.344,0,44,0.315,88.981,0.703,2000
0.805,0.589,269893,0.287,0,5.82E-06,0,0.0925,-9.508,1,42,0.0316,116.351,0.161,2000
0.819,0.88,145547,0.379,0,0,7,0.0869,-11.647,1,41,0.0493,135.28,0.682,2000
0.0367,0.543,197867,0.958,0,7.05E-06,6,0.27,-3.736,1,40,0.0431,134.087,0.69,2000
0.0238,0.831,296427,0.571,1,0,11,0.688,-5.648,1,44,0.303,90.367,0.438,2000
